Unnamed: 0,Country,English Proficiency Index 2025 (0-800)â,EF Proficiency Band 2025
,Netherlands,636,Very high
,Norway,610,Very high
,Singapore,609,Very high
,Sweden,608,Very high
,Croatia,607,Very high
,Portugal,605,Very high
,Denmark,603,Very high
,Greece,602,Very high
,Austria,600,Very high
,Germany,598,High
,South Africa,594,High
,Romania,593,High
,Belgium,592,High
,Finland,590,High
,Poland,588,High
,Bulgaria,586,High
,Hungary,585,High
,Slovakia,584,High
,Kenya,581,High
,Estonia,578,High
,Luxembourg,576,High
,Philippines,570,High
,Lithuania,569,High
,Serbia,568,High
,Czechia,567,High
,Malaysia,566,High
,Suriname,566,High
,Argentina,562,High
,Cyprus,558,High
,Nigeria,557,High
,Switzerland,550,High
,Hong Kong,549,Moderate
,Honduras,545,Moderate
,Georgia,543,Moderate
,Belarus,539,Moderate
,Spain,538,Moderate
,Uruguay,538,Moderate
,Armenia,537,Moderate
,Moldova,536,Moderate
,Ukraine,535,Moderate
,Ghana,534,Moderate
,Costa Rica,534,Moderate
,Albania,533,Moderate
,Russia,532,Moderate
,Paraguay,531,Moderate
,Italy,528,Moderate
,Chile,525,Moderate
,Bolivia,525,Moderate
,France,524,Moderate
,South Korea,523,Moderate
,Israel,522,Moderate
,Nepal,520,Moderate
,Cuba,520,Moderate
,Peru,519,Moderate
,Uganda,518,Moderate
,El Salvador,513,Moderate
,Venezuela,510,Moderate
,Guatemala,507,Moderate
,Dominican Republic,503,Moderate
,Nicaragua,502,Moderate
,Bangladesh,500,Moderate
,Iran,499,Low
,Ethiopia,498,Low
,Vietnam,498,Low
,Turkey,497,Low
,Mozambique,496,Low
,Tunisia,496,Low
,Pakistan,493,Low
,Lebanon,492,Low
,India,490,Low
,United Arab Emirates,489,Low
,Panama,488,Low
,Tanzania,487,Low
,Sri Lanka,486,Low
,Colombia,485,Low
,Qatar,480,Low
,Morocco,479,Low
,Syria,473,Low
,Algeria,471,Low
,Indonesia,468,Low
,Brazil,466,Low
,Egypt,465,Low
,Ecuador,465,Low
,Mongolia,464,Low
,Madagascar,463,Low
,Azerbaijan,462,Low
,Mexico,459,Low
,Kyrgyzstan,457,Low
,Kuwait,456,Low
,Cape Verde,456,Low
,China,455,Low
,Japan,454,Low
,Myanmar,449,Very low
,Palestine,448,Very low
,Afghanistan,447,Very low
,Malawi,447,Very low
,Cameroon,445,Very low
,Uzbekistan,439,Very low
,Sudan,432,Very low
,Haiti,432,Very low
,Jordan,431,Very low
,Senegal,429,Very low
,Kazakhstan,427,Very low
,Oman,421,Very low
,Saudi Arabia,417,Very low
,Thailand,415,Very low
,Iraq,414,Very low
,Benin,413,Very low
,Tajikistan,412,Very low
,Angola,409,Very low
,Cambodia,408,Very low
,Libya,405,Very low
,Rwanda,401,Very low
,Ivory Coast,399,Very low
,Somalia,399,Very low
,Yemen,394,Very low
